,Unnamed: 0,Transaction_ID,Customer_ID,Transaction_Amount (in Million),Transaction_Time,Transaction_Date,Transaction_Type,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,IP_Address,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Is_Fraud,Transaction_Hour,Time_Diff,Min_Since_Last_Tx,Transactions_Today,Customer_Hist_Avg,Spend_to_Avg_Ratio,Customer_Hist_Max,Is_New_Spend_Record
16861,16921,241579.0,10005.0,9.0,1900-01-01 15:11:00,2025-03-09,ATM,Electronics,Multan,Lahore,562.0,151.135.220.199,Credit,14.0,5.0,6.0,4.0,9.0,0,0,2.0,0,0.0,0,15,,999.0,1,9.0,0.9999999998888889,9.0,1
12912,12961,516068.0,10009.0,7.0,1900-01-01 20:52:00,2025-01-15,POS,Grocery,Multan,Karachi,364.0,142.57.98.38,Debit,32.0,5.0,14.0,1.0,3.0,1,0,2.0,0,0.0,0,20,,999.0,1,7.0,0.9999999998571428,7.0,1
23195,23271,402225.0,10009.0,4.0,1900-01-01 22:58:00,2025-01-18,Online,Restaurant,Bangkok,Multan,549.0,219.83.221.3,Debit,10.0,5.0,5.0,1.0,7.0,0,0,0.0,1,1.0,0,22,0 days 02:06:00,126.0,1,5.5,0.7272727271404958,7.0,0
12961,13011,529848.0,10009.0,4.0,1900-01-01 06:25:00,2025-02-07,Online,Fuel,London,Lahore,462.0,144.161.217.77,Debit,5.0,6.0,23.0,3.0,5.0,0,0,1.0,0,1.0,0,6,-1 days +07:27:00,-993.0,1,5.0,0.79999999984,7.0,0
16271,16329,531951.0,10013.0,9.0,1900-01-01 11:14:00,2025-03-23,POS,ATM,Karachi,Multan,62.0,17.66.82.210,Credit,22.0,6.0,8.0,3.0,6.0,1,1,1.0,0,1.0,0,11,,999.0,1,9.0,0.9999999998888889,9.0,1
27894,27979,135162.0,10015.0,5.0,1900-01-01 06:34:00,2025-04-27,ATM,Fuel,Kuala Lumpur,Islamabad,151.0,21.56.170.207,Debit,5.0,5.0,3.0,2.0,2.0,0,0,0.0,1,0.0,0,6,,999.0,1,5.0,0.9999999998,5.0,1
18500,18565,362095.0,10018.0,1.0,1900-01-01 00:37:00,2025-01-09,ATM,Restaurant,Singapore,Islamabad,472.0,209.238.117.216,Credit,14.0,2.0,20.0,2.0,5.0,1,1,2.0,1,0.0,0,0,,999.0,1,1.0,0.9999999989999999,1.0,1
27846,27931,570332.0,10018.0,4.0,1900-01-01 02:05:00,2025-03-25,ATM,Electronics,Bangkok,Faisalabad,312.0,220.185.83.95,Debit,12.0,7.0,16.0,3.0,4.0,0,0,1.0,1,1.0,0,2,0 days 01:28:00,88.0,1,2.5,1.59999999936,4.0,1
13575,13627,450136.0,10023.0,5.0,1900-01-01 16:19:00,2025-02-02,POS,ATM,Islamabad,Islamabad,20.0,162.160.63.127,Debit,15.0,5.0,11.0,3.0,8.0,1,1,0.0,1,0.0,0,16,,999.0,1,5.0,0.9999999998,5.0,1
25562,25644,541650.0,10024.0,5.0,1900-01-01 17:47:00,2025-02-01,ATM,Restaurant,Kuala Lumpur,Lahore,148.0,213.50.21.201,Debit,23.0,2.0,13.0,3.0,2.0,0,0,2.0,1,1.0,0,17,,999.0,1,5.0,0.9999999998,5.0,1
14089,14141,866943.0,10024.0,7.0,1900-01-01 09:21:00,2025-02-09,Online,Restaurant,Singapore,Faisalabad,180.0,176.145.247.159,Credit,16.0,6.0,20.0,4.0,1.0,1,0,0.0,1,1.0,0,9,-1 days +15:34:00,-506.0,1,6.0,1.1666666664722223,7.0,1
15501,15556,553274.0,10025.0,8.0,1900-01-01 06:00:00,2025-02-15,Online,ATM,Lahore,Lahore,424.0,189.37.190.228,Debit,15.0,7.0,12.0,2.0,5.0,0,0,2.0,0,1.0,0,6,,999.0,1,8.0,0.999999999875,8.0,1
