,Transaction_ID,Transaction_Amount (in Million),Transaction_Time,Transaction_Date,Transaction_Type,Merchant_Category,Transaction_Location,Customer_Home_Location,Distance_From_Home,IP_Address,Card_Type,Account_Balance (in Million),Daily_Transaction_Count,Weekly_Transaction_Count,Avg_Transaction_Amount (in Million),Max_Transaction_Last_24h (in Million),Is_International_Transaction,Is_New_Merchant,Failed_Transaction_Count,Unusual_Time_Transaction,Previous_Fraud_Count,Is_Fraud
0,431438.0,6.0,10:54,2025-03-08,POS,ATM,Singapore,Lahore,466.0,231.92.159.84,Credit,30.0,4.0,17.0,2.0,4.0,1,1,0.0,0,1.0,0
1,902451.0,9.0,19:23,2025-01-17,ATM,ATM,Singapore,Lahore,215.0,140.98.205.212,Credit,4.0,4.0,9.0,5.0,8.0,1,1,1.0,0,1.0,0
2,223410.0,3.0,10:20,2025-04-30,POS,Electronics,Faisalabad,Faisalabad,216.0,199.72.40.86,Debit,38.0,5.0,18.0,5.0,8.0,1,0,0.0,1,1.0,0
3,145626.0,1.0,14:11,2025-02-21,Online,Grocery,London,Karachi,408.0,209.30.4.37,Debit,22.0,6.0,18.0,5.0,1.0,0,1,2.0,1,1.0,0
4,414637.0,1.0,04:12,2025-04-11,Online,Electronics,Singapore,Islamabad,209.0,73.140.112.60,Debit,10.0,3.0,18.0,4.0,3.0,0,1,1.0,0,1.0,0
5,627496.0,7.0,15:34,2025-04-25,Online,Electronics,Karachi,Multan,385.0,38.190.45.178,Credit,5.0,5.0,2.0,4.0,6.0,0,0,0.0,0,1.0,0
6,275195.0,9.0,09:17,2025-02-17,ATM,Fuel,Lahore,Islamabad,546.0,100.181.26.59,Credit,15.0,7.0,10.0,2.0,9.0,0,0,0.0,1,0.0,0
7,684837.0,1.0,22:17,2025-03-25,ATM,ATM,Bangkok,Faisalabad,106.0,198.204.214.246,Debit,10.0,3.0,5.0,5.0,7.0,1,1,0.0,0,1.0,0
8,710739.0,8.0,05:43,2025-02-06,ATM,Electronics,Multan,Faisalabad,383.0,34.208.247.48,Debit,16.0,3.0,13.0,5.0,6.0,0,1,2.0,0,0.0,0
9,683520.0,2.0,18:06,2025-02-04,ATM,Electronics,London,Multan,504.0,158.221.161.52,Credit,23.0,4.0,14.0,2.0,2.0,0,1,0.0,1,1.0,0
10,898341.0,8.0,16:49,2025-02-20,POS,Fuel,Faisalabad,Islamabad,47.0,239.117.246.162,Debit,37.0,6.0,8.0,1.0,5.0,1,0,1.0,0,0.0,0
11,660635.0,5.0,23:50,2025-01-12,ATM,ATM,Lahore,Lahore,46.0,175.160.2.171,Debit,33.0,1.0,17.0,4.0,6.0,0,1,0.0,1,1.0,0
12,572953.0,4.0,11:35,2025-04-06,Online,Grocery,London,Karachi,299.0,25.121.65.14,Credit,24.0,1.0,1.0,2.0,4.0,0,0,0.0,1,0.0,0
13,574874.0,4.0,00:51,2025-03-24,ATM,Grocery,Singapore,Karachi,476.0,122.71.103.220,Credit,13.0,5.0,8.0,3.0,1.0,1,1,2.0,1,0.0,1
14,937659.0,6.0,15:50,2025-03-04,Online,ATM,London,Multan,131.0,171.161.60.148,Credit,19.0,3.0,21.0,5.0,1.0,0,1,2.0,1,1.0,0
15,521551.0,2.0,03:49,2025-01-28,ATM,ATM,Singapore,Multan,308.0,123.114.93.98,Credit,11.0,6.0,18.0,3.0,2.0,1,1,2.0,1,1.0,0
16,884941.0,6.0,19:05,2025-03-08,POS,ATM,Islamabad,Karachi,568.0,33.172.25.39,Debit,20.0,3.0,2.0,3.0,8.0,0,0,1.0,0,0.0,0
17,108171.0,1.0,15:41,2025-01-10,Online,Restaurant,Kuala Lumpur,Faisalabad,10.0,37.244.104.248,Debit,18.0,6.0,17.0,5.0,1.0,0,1,2.0,1,0.0,0
18,146030.0,8.0,13:22,2025-04-23,Online,Fuel,Kuala Lumpur,Lahore,338.0,37.155.102.151,Credit,18.0,2.0,16.0,5.0,5.0,1,0,2.0,0,1.0,0
19,731894.0,2.0,00:04,2025-04-24,POS,Electronics,Singapore,Karachi,181.0,253.17.246.211,Credit,21.0,7.0,9.0,5.0,5.0,0,1,2.0,1,1.0,0
20,691659.0,3.0,12:09,2025-02-01,ATM,Grocery,Islamabad,Multan,174.0,196.136.124.206,Credit,20.0,2.0,16.0,2.0,6.0,1,0,0.0,0,0.0,0
21,589323.0,5.0,16:29,2025-04-18,ATM,Electronics,Singapore,Karachi,565.0,35.254.29.80,Debit,9.0,7.0,24.0,5.0,6.0,1,1,1.0,1,1.0,0
22,952375.0,5.0,14:39,2025-03-15,POS,Restaurant,Kuala Lumpur,Multan,49.0,11.73.89.39,Credit,35.0,4.0,21.0,3.0,7.0,1,1,1.0,0,0.0,0
23,433935.0,4.0,12:26,2025-01-11,ATM,Restaurant,Lahore,Faisalabad,322.0,53.187.178.186,Debit,37.0,4.0,6.0,1.0,1.0,1,1,1.0,0,1.0,0
24,472909.0,4.0,10:40,2025-04-07,Online,Grocery,Dubai,Faisalabad,89.0,71.3.65.239,Credit,20.0,4.0,13.0,5.0,4.0,1,1,2.0,0,1.0,0
25,952450.0,2.0,22:35,2025-02-22,ATM,Restaurant,Bangkok,Islamabad,531.0,214.102.90.98,Debit,15.0,3.0,23.0,5.0,5.0,0,0,1.0,0,1.0,0
26,862985.0,2.0,11:43,2025-04-07,POS,Clothing,Kuala Lumpur,Lahore,221.0,45.60.238.218,Debit,28.0,7.0,2.0,5.0,2.0,0,1,1.0,0,0.0,0
27,275707.0,9.0,02:53,2025-01-08,POS,Fuel,Islamabad,Lahore,436.0,14.146.172.24,Credit,26.0,6.0,15.0,1.0,7.0,1,1,1.0,0,1.0,0
28,774990.0,6.0,23:49,2025-01-24,Online,Restaurant,Faisalabad,Islamabad,215.0,246.237.215.186,Debit,24.0,6.0,13.0,5.0,7.0,1,0,1.0,1,0.0,0
29,223921.0,1.0,10:53,2025-04-29,POS,Electronics,Multan,Faisalabad,431.0,3.65.33.199,Debit,11.0,4.0,10.0,3.0,4.0,1,0,0.0,0,1.0,0
30,130850.0,4.0,01:21,2025-04-12,ATM,Grocery,Islamabad,Islamabad,496.0,79.216.212.67,Debit,15.0,7.0,16.0,1.0,6.0,1,0,2.0,1,0.0,0
31,436209.0,9.0,15:08,2025-03-31,POS,ATM,Dubai,Lahore,330.0,97.135.15.111,Credit,31.0,4.0,18.0,3.0,5.0,1,1,1.0,0,1.0,0
32,901516.0,9.0,11:27,2025-03-21,Online,ATM,Kuala Lumpur,Lahore,151.0,119.120.228.20,Debit,36.0,3.0,20.0,1.0,3.0,1,0,1.0,1,1.0,0
33,568626.0,7.0,07:49,2025-02-08,ATM,Electronics,Dubai,Karachi,491.0,125.251.6.8,Credit,32.0,6.0,12.0,2.0,1.0,0,0,1.0,1,1.0,0
34,315000.0,7.0,16:48,2025-01-12,Online,ATM,Dubai,Islamabad,584.0,192.131.76.169,Credit,17.0,6.0,6.0,4.0,8.0,0,1,0.0,1,1.0,0
